Center,Center Search Status,Facility,FacilityURL,Occupied,Status,URL Link,Record Date,Last Update,Country,Contact,Phone,Location,City,State,Zipcode
Jet Propulsion Lab,Public,Microdevices Laboratory (MDL),,01/01/1990 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/08/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Stennis Space Center,Public,Test Stand A-2 #4122,,01/01/1964 12:00:00 AM,Inactive,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Marshall Space Flight Center,Public,EP Data Recording Facility 4583 ,,01/01/1957 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Wallops Flight Facility/GSFC,Public,WFF Research Airport,,01/01/1958 12:00:00 AM,Active,http://www.nasa.gov/centers/wallops,03/01/1996 12:00:00 AM,07/19/2013 12:00:00 AM,US,Scott H. Schaire,757-824-1120,"23337-5099(37.911289, -75.469622)",Wallops Island,VA,23337-5099
Marshall Space Flight Center,Public,EH Vacuum Plasma Spray Facility 4707,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,ET Test Facility (TS300) 4530,,01/01/1966 12:00:00 AM,Active,,06/05/1996 12:00:00 AM,02/26/2015 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Jet Propulsion Lab,Public,DSS 16 Antenna,,01/01/1958 12:00:00 AM,Inactive,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Jet Propulsion Lab,Public,Thermal Vacuum Chamber 306-TV-11,,,Active,http://etl.jpl.nasa.gov,07/06/2010 12:00:00 AM,08/08/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Goddard Space Flight Center,Public,700: Magnetic Field Component Test Facility,,01/01/1963 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Michoud Assembly Facility,Public,Precision Cleaning Facility,,01/01/1943 12:00:00 AM,Active,http://mafbusiness.msfc.nasa.gov/,02/03/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
NASA Aircraft Management Division,Public,DFRC Gulfstream G-III Research Aircraft,,,Active,http://www.nasa.gov/centers/dryden/aircraft/G-III_UAVSAR/index.html,10/07/2009 12:00:00 AM,02/13/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Michoud Assembly Facility,Public,Riveting Facility,,01/01/1943 12:00:00 AM,Active,http://mafbusiness.msfc.nasa.gov/,02/09/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Jet Propulsion Lab,Public,DSS 13 Antenna,,01/01/1958 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Marshall Space Flight Center,Public,EH Metals Processing Facility 4711,,01/01/1958 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,North Wing/60680/HGR-AE ,,01/01/1959 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Public,Helicopter Hover Facility/647,,01/01/1977 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/15/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,Public,EH Computer Aided Design (CAD)Room 4708,,01/01/1989 12:00:00 AM,Active,,05/29/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,Orbiter Processing Facility(OPF) HB 3/K6-696,,01/01/1987 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Glenn Research Center,Public,Heated Tube Facility,,,Inactive,,06/15/2015 12:00:00 AM,06/15/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Marshall Space Flight Center,Public,EH Hazardous Tribological Test Facility 4643,,01/01/1960 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Jet Propulsion Lab,Public,Mirror Refurbishment Building,,01/01/1992 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/08/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Goddard Space Flight Center,Public,"500: NASA Communications Facility (NASCOM), B.14",,01/01/1964 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Kennedy Space Center,Public,Airlock/M7-360/SSPF ,,01/01/1995 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Goddard Space Flight Center,Public,"500 BDA: Antenna, 9m S-band",,,Active,,03/01/1996 12:00:00 AM,08/15/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Kennedy Space Center,Public,High Bay Transfer Aisle/K6-848/VAB ,,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Jet Propulsion Lab,Public,Robotic Vehicle Lab,,01/01/1948 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/08/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Goddard Space Flight Center,Public,"700: Space Environment Simulator, Facility 290",,01/01/1962 12:00:00 AM,Active,http://mscweb.gsfc.nasa.gov/549web,03/01/1996 12:00:00 AM,08/19/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Marshall Space Flight Center,Public,ET East Vibration Test Facility 4619,,,Active,,07/06/2010 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
NASA Aircraft Management Division,Public,DFRC DC-8 Earth Science Research Aircraft,,,Active,http://www.nasa.gov/centers/dryden/aircraft/DC-8/index.html,10/07/2009 12:00:00 AM,02/13/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Kennedy Space Center,Public,LPS Central Data Subsystem Area/2nd Flr/K6-900/LCC,,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Johnson Space Center,Public,Vibration Acoustic Test Facility - B-49,,,Active,http://www.nasa.gov/centers/johnson/pdf/639503main_VATF_User_Test_Planning_Guide.pdf,09/26/2012 12:00:00 AM,09/26/2012 12:00:00 AM,US,Charles Noel,281.483.3219,"77058(29.559177, -95.097897)",Houston,TX,77058
Marshall Space Flight Center,Public,EM-20 Microwave NDE Facility 4702,,,Active,,08/11/2006 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Ames Research Center,Public,N237 - HYPERVELOCITY FREE FLIGHT AERODYNAMIC FACILITY (PAPAC),,01/01/1964 12:00:00 AM,Active,http://thermo-physics.arc.nasa.gov,03/01/1996 12:00:00 AM,06/13/2014 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
Kennedy Space Center,Public,High Bay 2/1726/HGR-S ,,01/01/1957 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Jet Propulsion Lab,Public,DSS 14 Antenna,,01/01/1958 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Michoud Assembly Facility,Public,Port Michoud Facility,,01/01/1963 12:00:00 AM,Active,http://mafbusiness.msfc.nasa.gov/,01/29/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Langley Research Center,Public,Information Systems Research Facility (2),,01/01/1945 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Wallops Flight Facility/GSFC,Public,Launch Range,,01/01/1959 12:00:00 AM,Active,http://www.nasa.gov/centers/wallops,03/01/1996 12:00:00 AM,07/11/2013 12:00:00 AM,US,Scott H. Schaire,757-824-1120,"23337-5099(37.911289, -75.469622)",Wallops Island,VA,23337-5099
Kennedy Space Center,Public,Mobile Launcher Platform 3 ,,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,Public,EP Transient Pressure Test Facility 4515 ,,01/01/1987 12:00:00 AM,Inactive,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,LCC Control Room 4/FR-4/Third Floor/K6-900 ,,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,Public,ET Acoustic Test Facility 4619,,01/01/1959 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,"X-Ray & Cryogenic Facility (XRCF), 4718",,01/01/1991 12:00:00 AM,Active,https://optics.nasa.gov,03/01/1996 12:00:00 AM,02/20/2015 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Ames Research Center,Public,N234 - THERMAL PROTECTION LAB: 2x9 INCH SUPERSONIC TURBULENT FLOW DUCT (PAPAC),,01/01/1972 12:00:00 AM,Active,http://thermo-physics.arc.nasa.gov,03/01/1996 12:00:00 AM,06/12/2014 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
Michoud Assembly Facility,Public,Heat Treating Facility,,01/01/1943 12:00:00 AM,Active,http://mafbusiness.msfc.nasa.gov/,02/02/2009 12:00:00 AM,02/19/2013 12:00:00 AM,US,Ernest Graham,504.257-2619,"70189(29.950621, -90.074948)",New Orleans,LA,70189
Marshall Space Flight Center,Public,EH Environmental Replacement Tech. Lab 4707,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EV 400-Ft. Antenna Test Range 4194,,01/01/1962 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Marshall Space Flight Center,Public,EP Test Facility (TF116) 4540,,01/01/1964 12:00:00 AM,Active,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Stennis Space Center,Public,Engine Processing Building #3202,,01/01/1965 12:00:00 AM,Inactive,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Jet Propulsion Lab,Public,DSS 63 Antenna,,01/01/1964 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Marshall Space Flight Center,Public,"EV Engine Hardware Simulation Laboratory, 4436",,01/01/1988 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Jet Propulsion Lab,Public,Mesa Antenna Test Facility,,01/01/1980 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Langley Research Center,Public,Structures and Materials Lab,,01/01/1940 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,Public,EP Cold Flow Position 4670 ,,01/01/1965 12:00:00 AM,,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Glenn Research Center,Public,"Structural Dynamics Laboratory, Bldg. 56",,01/01/1949 12:00:00 AM,Active,http://facilities.grc.nasa.gov/sdl/index.html,03/01/1996 12:00:00 AM,03/04/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Kennedy Space Center,Public,Orbiter Processing Facility(OPF)Low Bay 3/K6-696,,01/01/1987 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
NASA Aircraft Management Division,Public,DFRC Ikhana (Predator B) Unmanned Aerial System,,,Active,http://www.nasa.gov/centers/dryden/aircraft/Ikhana/index.html,10/07/2009 12:00:00 AM,02/13/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Marshall Space Flight Center,Public,ES BATSE Operations & Data Analysis Lab 4481,,01/01/1990 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,RPSF Surge Building #1/K6-0497 ,,01/01/1984 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Marshall Space Flight Center,Public,EH Inert Propellant Development Lab 4767,,01/01/1960 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Stennis Space Center,Public,Data Acquisition Facility (DAF) #4995,,01/01/1966 12:00:00 AM,Active,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Kennedy Space Center,Public,Orbiter Processing Facility(OPF) Bay 2/K6-894 ,,01/01/1977 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Kennedy Space Center,Public,Support Areas/M7-360/SSPF ,,01/01/1995 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Jet Propulsion Lab,Public,DSS 43 Antenna,,01/01/1963 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/07/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Kennedy Space Center,Public,High Bay 3 Cell/K6-848/VAB ,,01/01/1966 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Kennedy Space Center,Public,Electromagnetic Laboratory/M6-336 ,,01/01/1963 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
NASA Aircraft Management Division,Public,DFRC Stratospheric Observatory for Infrared Astronomy (SOFIA) Aircraft,,,Active,http://www.nasa.gov/centers/dryden/news/FactSheets/FS-096-DFRC.html,10/07/2009 12:00:00 AM,02/13/2013 12:00:00 AM,US,Hsien (Shen) Yen,202 358 4721,"20546(38.883239, -77.016473)",Washington,DC,20546
Kennedy Space Center,Public,High Bay Clean Room Complex/60680/HGR-AE,,01/01/1959 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Armstrong Flight Research Center,Public,Bldg. 4982 - Aeronautical Tracking Facility,,,Active,,04/13/2010 12:00:00 AM,12/19/2014 12:00:00 AM,US,Facilities Utilization Officer,661-276-2585,"93523(35.000989, -117.888837)",Edwards,CA,93523
Marshall Space Flight Center,Public,EV Contact Dynamics Simulation Lab (6DOF) 4663,,01/01/1980 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/31/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Public,Instrument Research Lab/1230,,01/01/1946 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Marshall Space Flight Center,Public,EH Robotic Workcell 4707,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Langley Research Center,Public,Semi-Anecho Electromagnetic Comp Test Complex/B1220,,01/01/1945 12:00:00 AM,Active,,06/22/2006 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Goddard Space Flight Center,Public,Vibration Test Facility - Exciter 2,,,Active,http://mscweb.gsfc.nasa.gov/549web,07/07/2010 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Goddard Space Flight Center,Public,"Facility 225, Thermal Vacuum Chamber, B.7",,01/01/1962 12:00:00 AM,Active,http://mscweb.gsfc.nasa.gov/549web,03/01/1996 12:00:00 AM,08/16/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Stennis Space Center,Public,Test Facility E-3 #4071,,,Active,http://rockettest.nasa.gov,12/11/2000 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Marshall Space Flight Center,Public,EM-20 Computed Tomography Facility 4707,,01/01/1985 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Jet Propulsion Lab,Public,SOLAR TEST FACILITY,,01/01/1985 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/08/2013 12:00:00 AM,US,Gary Gray,818.354.0701,"91109(34.178124, -118.150662)",PASADENA,CA,91109
Kennedy Space Center,Public,High Bay/Low Bay/Processing Rooms/M7-355/O&C,,01/01/1963 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Langley Research Center,Public,Composite Material Development Laboratory/B1238B,,01/01/1978 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Glenn Research Center,Public,"Space Experiments Laboratory, Bldg. 110",,01/01/1993 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,03/05/2015 12:00:00 AM,US,Linda C. Elonen-Wright,216-433-9370,"44135(41.430364, -81.808561)",Cleveland,OH,44135
Langley Research Center,Public,Quality Assurance & Inspection Lab/1232A,,01/01/1946 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,02/25/2013 12:00:00 AM,US,Sherry Johnson,757.864-3848,"23681-2199(37.08681, -76.376649)",Hampton,VA,23681-2199
Stennis Space Center,Public,Test Facility H-1 #5001,,01/01/1995 12:00:00 AM,Inactive,,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Marshall Space Flight Center,Public,EH SRB-TPS (Thermal Protection Sys) Dev. 470,,01/01/1956 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,06/02/2014 12:00:00 AM,US,Pam Caruso,256-544-7795,"35812(34.729538, -86.585283)",Huntsville,AL,35812
Kennedy Space Center,Public,"Ordnance Storage Fac/K7-255,-306,-356,-405,-506 ",,01/01/1965 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Stennis Space Center,Public,Test Stand B-1 #4220,,01/01/1965 12:00:00 AM,Active,http://rockettest.nasa.gov,03/01/1996 12:00:00 AM,04/06/2015 12:00:00 AM,US,Robert Bruce,228-688-1646,"39529-6000(30.385948, -89.604486)",Stennis Space Center,MS,39529-6000
Kennedy Space Center,Public,Logistics Facility/K6-1547/Shuttle ,,01/01/1986 12:00:00 AM,,,03/01/1996 12:00:00 AM,06/22/2015 12:00:00 AM,US,Sheryl Chaffee,321-867-8047,"32899(28.538331, -81.378879)",Kennedy Space Center,FL,32899
Armstrong Flight Research Center,Public,Bldg. 4820 - Flight Loads Laboratory ,,01/01/1966 12:00:00 AM,Active,http://www.nasa.gov/centers/dryden/research/Facilities/FL,03/01/1996 12:00:00 AM,07/10/2013 12:00:00 AM,US,Facilities Utilization Officer,661-276-2585,"93523(35.000989, -117.888837)",Edwards,CA,93523
Goddard Space Flight Center,Public,"500 MILA: Antenna, 4.3m S-band",,01/01/1966 12:00:00 AM,Active,,03/01/1996 12:00:00 AM,08/15/2013 12:00:00 AM,US,Barry Green,301 286 2520,"20771(38.99538, -76.853161)",Greenbelt,MD,20771
Ames Research Center,Public,046 - AIRCRAFT MAINTENANCE HANGAR 2,,01/01/1943 12:00:00 AM,Active,,10/05/2011 12:00:00 AM,09/10/2014 12:00:00 AM,US,Rocci Caringello,650 603-9506,"94035(37.41412, -122.052585)",Moffett Field,CA,94035
